,STATIONS DN TRAINS,BSR 90065 12 CAR,VR 90067 12 CAR,VR 90067 12 CAR.1,BVI 90069 12 CAR,BVI 90069 12 CAR.1,BVI 90071 12 CAR,BVI 90071 12 CAR.1,VR 90073 12 CAR,VR 90073 12 CAR.1,VR 92017 12 CAR,VR 92017 12 CAR.1,VR 92017 12 CAR.2,BVI 90077 12 CAR,BVI 90077 12 CAR.1,BVI 90077 12 CAR.2,BVI 90079 12 CAR,BVI 90079 12 CAR.1,BSR 92019 15 CAR,BSR 92019 15 CAR.1,VR 94007 12 CAR,VR 94007 12 CAR.1,VR 90083 12 CAR,VR 90083 12 CAR.1,GMN 90085 12 CAR,GMN 90085 12 CAR.1,GMN 90085 12 CAR.2,BVI 90087 12 CAR,BVI 90087 12 CAR.1,BVI 90087 12 CAR.2,BVI 90089 12 CAR,BVI 90089 12 CAR.1,BVI 90089 12 CAR.2,BVI 90089 12 CAR.3
377,Ram Mandir,11:18,,,,,,,11:22,11:22,,,,,11:25,11:25,11:25,,,,,,,11:31,11:31,11:31,,,,,,,,
378,Goregaon,11:20,,,,,,,11:24,11:24,,,,,11:27,11:27,11:27,,,,,,,11:33,11:33,11:33,,,,,,,,
379,Malad,11:24,,,,,,,11:28,11:28,,,,,11:31,11:31,11:31,,,,,11:21,11:21,11:37,11:37,11:37,,,,,,,,
380,Kandivli,11:27,,,,,,,11:31,11:31,,,,,11:34,11:34,11:34,,,,,,,11:40,11:40,11:40,,,,,,,,
381,BORIVALI,11:34,11:14,11:14,,,11:17,11:17,11:38,11:38,11:20,11:20,11:20,11:20,11:41,11:41,11:41,11:23,11:23,,,,,11:47,11:47,11:47,,,,11:30,11:30,11:30,,
382,Dahisar,,11:18,11:18,,,,,,,11:25,11:25,11:25,11:25,11:46,11:46,11:46,11:27,11:27,,,NOT ON,NOT ON,,,,,,,11:34,11:34,11:34,,
383,Mira Road,,11:23,11:23,,,,,,,11:30,11:30,11:30,11:30,11:51,11:51,11:51,11:31,11:31,,,SUN,SUN,,,,,,,11:39,11:39,11:39,,
384,Bhayandar,,11:28,11:28,,,,,,,11:37,11:37,11:37,11:37,11:57,11:57,11:57,11:36,11:36,,,ONLY,ONLY,,,,,,,11:44,11:44,11:44,,
385,Naigaon,,11:34,11:34,,,,,,,,,,,12:03,12:03,12:03,11:41,11:41,,,,,,,,,,,11:50,11:50,11:50,,
386,Vasai Road,,11:39,11:39,,,,,,,,,,,12:08,12:08,12:08,11:45,11:45,,,,,,,,,,,11:55,11:55,11:55,,
387,Nalla Sopara,,11:44,11:44,,,,,,,,,,,12:13,12:13,12:13,11:50,11:50,,,,,,,,,,,12:00,12:00,12:00,,
388,VIRAR,,11:51,11:51,,,,,,,,,,,,,,11:57,11:57,,,,,,,,,,,12:07,12:07,12:07,12:00,12:00
389,STATIONS DN TRAINS,BVI 90347 12 CAR,BYR 90349 12 CAR,BYR 90349 12 CAR,GMN 90349A 12 CAR,GMN 90349A 12 CAR,VR 94027 12 CAR,VR 94027 12 CAR,VR 92085 15 CAR,VR 92085 15 CAR,BVI 90353 12 CAR,BVI 90353 12 CAR,BVI 90353 12 CAR,VR 90355 12 CAR,VR 90355 12 CAR,VR 90355 12 CAR,BVI 90357 12 CAR,BVI 90357 12 CAR,BCL 90359 12 CAR,BCL 90359 12 CAR,MDD 90361 12 CAR,MDD 90361 12 CAR,DRD 93019 12 CAR,DRD 93019 12 CAR,BVI 90363 12 CAR,BVI 90363 12 CAR,BVI 90363 12 CAR,VR 90365 12 CAR,VR 90365 12 CAR,VR 90365 12 CAR,VR 90369 12 CAR,VR 90369 12 CAR,VR 90369 12 CAR,
390,CHURCHGATE,10:50,10:48,10:48,10:51,10:51,10:53,10:53,,,10:54,10:54,10:54,10:57,10:57,10:57,10:57,10:57,11:00,11:00,11:00,11:00,,,11:03,11:03,11:03,11:06,11:06,11:06,,,,
391,Marine Lines,,10:51,10:51,10:54,10:54,,,,,10:57,10:57,10:57,,,,11:00,11:00,11:03,11:03,11:03,11:03,,,11:06,11:06,11:06,11:09,11:09,11:09,,,,
392,Charni Road,,10:53,10:53,10:56,10:56,,,,,10:59,10:59,10:59,,,,11:02,11:02,11:05,11:05,11:05,11:05,,,11:08,11:08,11:08,11:11,11:11,11:11,,,,
393,Grant Road,,10:56,10:56,10:59,10:59,,,,,11:02,11:02,11:02,,,,11:05,11:05,11:08,11:08,11:08,11:08,,,11:11,11:11,11:11,11:14,11:14,11:14,,,,
394,M'BAI CENTRAL (L),11:00,10:58,10:58,11:01,11:01,11:03,11:03,,,11:04,11:04,11:04,11:07,11:07,11:07,11:07,11:07,11:10,11:10,11:10,11:10,,,11:13,11:13,11:13,11:16,11:16,11:16,,,,
395,Mahalakshmi,,11:01,11:01,11:04,11:04,Air,Air,,,11:07,11:07,11:07,,,,11:10,11:10,,,,,,,11:16,11:16,11:16,,,,,,,
396,Lower Parel,,11:04,11:04,11:07,11:07,Condition,Condition,,,11:10,11:10,11:10,,,,11:13,11:13,,,,,,,11:19,11:19,11:19,,,,,,,
397,Prabhadevi,,11:07,11:07,11:10,11:10,,,,,11:13,11:13,11:13,,,,11:16,11:16,,,,,,,11:22,11:22,11:22,,,,,,,
398,DADAR,11:07,11:09,11:09,11:12,11:12,11:10,11:10,,,11:15,11:15,11:15,11:14,11:14,11:14,11:19,11:19,,,11:17,11:17,,,11:24,11:24,11:24,11:23,11:23,11:23,,,,
399,Matunga Road,,11:11,11:11,11:14,11:14,,,,,11:17,11:17,11:17,,,,11:21,11:21,,,,,,,11:26,11:26,11:26,,,,,,,
400,Mahim Jn.,,11:14,11:14,11:17,11:17,,,,,11:20,11:20,11:20,,,,11:24,11:24,,,,,,,11:29,11:29,11:29,,,,,,,
401,BANDRA,11:13,11:18,11:18,11:21,11:21,11:16,11:16,,,11:24,11:24,11:24,11:20,11:20,11:20,11:28,11:28,,,11:23,11:23,,,11:33,11:33,11:33,11:28,11:28,11:28,,,,
402,Khar Road,,11:21,11:21,11:24,11:24,,,,,11:27,11:27,11:27,,,,11:31,11:31,,,,,,,11:36,11:36,11:36,,,,,,,
403,Santa Cruz,,11:23,11:23,11:26,11:26,,,,,11:29,11:29,11:29,,,,11:33,11:33,,,,,,,11:38,11:38,11:38,,,,,,,
404,Vile Parle,,11:27,11:27,11:29,11:29,,,,,11:32,11:32,11:32,,,,11:36,11:36,,,,,,,11:41,11:41,11:41,,,,,,,
405,ANDHERI,11:23,11:33,11:33,11:34,11:34,11:26,11:26,,,11:37,11:37,11:37,11:29,11:29,11:29,11:41,11:41,,,11:32,11:32,,,11:46,11:46,11:46,11:37,11:37,11:37,,,,
406,Jogeshwari,,11:36,11:36,11:37,11:37,,,,,11:40,11:40,11:40,,,,11:44,11:44,,,,,,,11:49,11:49,11:49,,,,,,,
407,Ram Mandir,,11:39,11:39,11:40,11:40,ON SAT,ON SAT,,,11:43,11:43,11:43,,,,11:47,11:47,,,,,,,11:52,11:52,11:52,,,,,,,
408,Goregaon,,11:41,11:41,11:44,11:44,& SUN,& SUN,,,11:45,11:45,11:45,,,,11:49,11:49,,,,,,,11:54,11:54,11:54,,,,,,,
409,Malad,,11:45,11:45,,,NON AC,NON AC,,,11:49,11:49,11:49,,,,11:53,11:53,,,11:39,11:39,,,11:58,11:58,11:58,,,,,,,
410,Kandivli,,11:48,11:48,,,,,,,11:52,11:52,11:52,,,,11:56,11:56,,,,,,,12:01,12:01,12:01,,,,,,,
411,BORIVALI,11:37,11:54,11:54,,,11:39,11:39,11:37,11:37,11:59,11:59,11:59,11:43,11:43,11:43,12:03,12:03,,,,,,,12:07,12:07,12:07,11:51,11:51,11:51,12:08,12:08,12:08,
412,Dahisar,,11:58,11:58,,,11:42,11:42,11:42,11:42,NOT ON,NOT ON,NOT ON,11:47,11:47,11:47,,,,,,,,,,,,11:56,11:56,11:56,12:12,12:12,12:12,
413,Mira Road,,12:03,12:03,,,11:46,11:46,11:47,11:47,SUN,SUN,SUN,11:52,11:52,11:52,,,,,,,,,,,,12:01,12:01,12:01,12:17,12:17,12:17,
414,Bhayandar,,12:11,12:11,,,11:51,11:51,11:52,11:52,ONLY,ONLY,ONLY,11:57,11:57,11:57,,,,,,,,,,,,12:06,12:06,12:06,12:22,12:22,12:22,
415,Naigaon,,,,,,11:57,11:57,11:58,11:58,,,,12:03,12:03,12:03,,,,,,,,,,,,12:12,12:12,12:12,12:28,12:28,12:28,
416,Vasai Road,,,,,,12:02,12:02,12:03,12:03,,,,12:08,12:08,12:08,,,,,,,,,,,,12:17,12:17,12:17,12:33,12:33,12:33,
417,Nalla Sopara,,,,,,12:07,12:07,12:08,12:08,,,,12:13,12:13,12:13,,,,,,,,,,,,12:22,12:22,12:22,12:38,12:38,12:38,
418,VIRAR,,,,,,12:14,12:14,12:16,12:16,,,,12:20,12:20,12:20,,,,,,,12:20,12:20,,,,12:30,12:30,12:30,12:45,12:45,12:45,
419,STATIONS DN TRAINS,GMN 90371 12 CAR,BVI 90373 12 CAR,BVI 90373 12 CAR,VR 90375 12 CAR,VR 90375 12 CAR,BCL 90377 12 CAR,BCL 90377 12 CAR,BVI 90379 12 CAR,BVI 90379 12 CAR,BVI 90381 12 CAR,BVI 90381 12 CAR,BVI 90381 12 CAR,VR 92087 15 CAR,VR 92087 15 CAR,VR 92087 15 CAR,VR 94029 12 CAR,VR 94029 12 CAR,GMN 90385 12 CAR,GMN 90385 12 CAR,BVI 90387 12 CAR,BVI 90387 12 CAR,BCL 90389 12 CAR,BCL 90389 12 CAR,BCL 90389 12 CAR,MDD 90391 12 CAR,MDD 90391 12 CAR,MDD 90391 12 CAR,VR 92089 15 CAR,VR 92089 15 CAR,VR 92089 15 CAR,BVI 90393 12 CAR,BVI 90393 12 CAR,BVI 90393 12 CAR
420,CHURCHGATE,11:06,11:09,11:09,11:09,11:09,11:12,11:12,11:12,11:12,11:15,11:15,11:15,,,,11:15,11:15,11:18,11:18,11:21,11:21,11:21,11:21,11:21,11:24,11:24,11:24,,,,11:24,11:24,11:24
421,Marine Lines,11:09,11:12,11:12,11:12,11:12,11:15,11:15,11:15,11:15,11:18,11:18,11:18,,,,11:18,11:18,11:21,11:21,11:24,11:24,11:24,11:24,11:24,11:27,11:27,11:27,,,,11:27,11:27,11:27
422,Charni Road,11:11,11:14,11:14,11:14,11:14,11:17,11:17,11:17,11:17,11:20,11:20,11:20,,,,11:20,11:20,11:23,11:23,11:26,11:26,11:26,11:26,11:26,11:29,11:29,11:29,,,,11:29,11:29,11:29
423,Grant Road,11:14,11:17,11:17,11:17,11:17,11:20,11:20,11:20,11:20,11:23,11:23,11:23,,,,11:23,11:23,11:26,11:26,11:29,11:29,11:29,11:29,11:29,11:32,11:32,11:32,,,,11:32,11:32,11:32
424,M'BAI CENTRAL (L),11:16,11:19,11:19,11:19,11:19,11:22,11:22,11:22,11:22,11:25,11:25,11:25,,,,11:25,11:25,11:28,11:28,11:31,11:31,11:31,11:31,11:31,11:34,11:34,11:34,,,,11:34,11:34,11:34
425,Mahalakshmi,11:19,11:22,11:22,,,,,,,11:28,11:28,11:28,,,,Air,Air,11:31,11:31,,,,,,,,,,,,11:37,11:37,11:37
426,Lower Parel,11:22,11:25,11:25,,,,,,,11:31,11:31,11:31,,,,Condition,Condition,11:34,11:34,,,,,,,,,,,,11:40,11:40,11:40
427,Prabhadevi,11:25,11:28,11:28,,,,,,,11:34,11:34,11:34,,,,,,11:37,11:37,,,,,,,,,,,,11:43,11:43,11:43
428,DADAR,11:27,11:30,11:30,11:26,11:26,,,11:29,11:29,11:36,11:36,11:36,,,,11:32,11:32,11:39,11:39,11:38,11:38,,,,11:41,11:41,11:41,,,,11:45,11:45,11:45
429,Matunga Road,11:29,11:32,11:32,,,,,,,11:38,11:38,11:38,,,,,,11:41,11:41,,,,,,,,,,,,11:47,11:47,11:47
430,Mahim Jn.,11:32,11:35,11:35,,,,,,,11:41,11:41,11:41,,,,,,11:44,11:44,,,,,,,,,,,,11:50,11:50,11:50
431,BANDRA,11:36,11:39,11:39,11:31,11:31,,,11:34,11:34,11:45,11:45,11:45,,,,11:38,11:38,11:48,11:48,11:44,11:44,,,,11:47,11:47,11:47,,,,11:54,11:54,11:54
432,Khar Road,11:39,11:42,11:42,,,,,,,11:48,11:48,11:48,,,,,,11:52,11:52,,,,,,,,,,,,11:57,11:57,11:57
433,Santa Cruz,11:41,11:44,11:44,,,,,,,11:50,11:50,11:50,,,,,,11:55,11:55,,,,,,,,,,,,11:59,11:59,11:59
434,Vile Parle,11:44,11:47,11:47,,,,,,,11:53,11:53,11:53,,,,,,11:58,11:58,,,,,,,,,,,,12:02,12:02,12:02
435,ANDHERI,11:48,11:53,11:53,11:40,11:40,,,11:43,11:43,11:59,11:59,11:59,,,,11:47,11:47,12:02,12:02,11:54,11:54,,,,11:57,11:57,11:57,12:01,12:01,12:01,12:07,12:07,12:07
436,Jogeshwari,11:52,11:56,11:56,,,,,,,12:03,12:03,12:03,,,,,,12:06,12:06,,,,,,,,,12:06,12:06,12:06,12:10,12:10,12:10
437,Ram Mandir,11:55,11:59,11:59,,,,,,,12:06,12:06,12:06,,,,,,12:09,12:09,,,,,,,,,12:09,12:09,12:09,12:13,12:13,12:13
438,Goregaon,11:58,12:01,12:01,,,,,,,12:08,12:08,12:08,,,,,,12:13,12:13,,,,,,,,,12:11,12:11,12:11,12:15,12:15,12:15
439,Malad,,12:05,12:05,,,,,,,12:12,12:12,12:12,,,,,,,,,,,,,12:09,12:09,12:09,12:15,12:15,12:15,12:19,12:19,12:19
440,Kandivli,,12:08,12:08,,,,,,,12:15,12:15,12:15,,,,,,,,,,,,,,,,12:18,12:18,12:18,12:22,12:22,12:22
441,BORIVALI,,12:15,12:15,11:55,11:55,,,11:59,11:59,12:21,12:21,12:21,12:21,12:21,12:21,12:01,12:01,,,12:10,12:10,,,,,,,12:24,12:24,12:24,12:29,12:29,12:29
442,Dahisar,,NOT ON,NOT ON,11:59,11:59,,,,,,,,12:26,12:26,12:26,12:05,12:05,,,,,,,,,,,12:29,12:29,12:29,,,
443,Mira Road,,SUN,SUN,12:04,12:04,,,,,,,,12:31,12:31,12:31,12:10,12:10,,,,,,,,,,,12:34,12:34,12:34,,,
444,Bhayandar,,ONLY,ONLY,12:09,12:09,,,,,,,,12:36,12:36,12:36,12:15,12:15,,,,,,,,,,,12:39,12:39,12:39,,,
445,Naigaon,,,,12:15,12:15,,,,,,,,12:42,12:42,12:42,12:21,12:21,,,,,,,,,,,12:45,12:45,12:45,,,
446,Vasai Road,,,,12:21,12:21,,,,,,,,12:47,12:47,12:47,12:26,12:26,,,,,,,,,,,12:51,12:51,12:51,,,
447,Nalla Sopara,,,,12:27,12:27,,,,,,,,12:52,12:52,12:52,12:31,12:31,,,,,,,,,,,12:56,12:56,12:56,,,
448,VIRAR,,,,12:35,12:35,,,,,,,,12:59,12:59,12:59,12:38,12:38,,,,,,,,,,,13:03,13:03,13:03,,,
449,STATIONS DN TRAINS,VR 92091 15 CAR,BCL 90395 12 CAR,BCL 90395 12 CAR,BYR 90397 12 CAR,BYR 90397 12 CAR,BYR 90399 12 CAR,BYR 90399 12 CAR,BVI 90401 12 CAR,BVI 90401 12 CAR,NSP 90403 12 CAR,NSP 90403 12 CAR,NSP 90403 12 CAR,BSR 90405 12 CAR,BSR 90405 12 CAR,BSR 90405 12 CAR,VR 92093 15 CAR,VR 92093 15 CAR,VR 90407 12 CAR,VR 90407 12 CAR,BVI 90409 12 CAR,BVI 90409 12 CAR,BVI 90411 12 CAR,BVI 90411 12 CAR,VR 94031 12 CAR,VR 94031 12 CAR,VR 94031 12 CAR,VR 90415A 12 CAR,VR 90415A 12 CAR,VR 90415A 12 CAR,BVI 90413 12 CAR,BVI 90413 12 CAR,BVI 90413 12 CAR,BVI 90413 12 CAR
450,CHURCHGATE,11:27,11:27,11:27,11:30,11:30,,,11:33,11:33,11:33,11:33,11:33,11:38,11:38,11:38,,,11:38,11:38,11:41,11:41,11:44,11:44,11:48,11:48,11:48,,,,11:49,11:49,11:49,11:49
451,Marine Lines,,11:30,11:30,11:33,11:33,,,11:36,11:36,11:36,11:36,11:36,11:41,11:41,11:41,,,11:41,11:41,11:44,11:44,11:47,11:47,11:51,11:51,11:51,,,,11:52,11:52,11:52,11:52
452,Charni Road,,11:32,11:32,11:35,11:35,,,11:38,11:38,11:38,11:38,11:38,11:43,11:43,11:43,,,11:43,11:43,11:46,11:46,11:49,11:49,11:53,11:53,11:53,,,,11:54,11:54,11:54,11:54
453,Grant Road,,11:35,11:35,11:38,11:38,,,11:41,11:41,11:41,11:41,11:41,11:46,11:46,11:46,,,11:46,11:46,11:49,11:49,11:52,11:52,11:56,11:56,11:56,,,,11:57,11:57,11:57,11:57
454,M'BAI CENTRAL (L),11:37,11:37,11:37,11:40,11:40,,,11:43,11:43,11:43,11:43,11:43,11:48,11:48,11:48,,,11:48,11:48,11:51,11:51,11:54,11:54,11:58,11:58,11:58,,,,11:59,11:59,11:59,11:59
455,Mahalakshmi,,,,,,,,11:46,11:46,,,,,,,,,11:51,11:51,11:54,11:54,11:57,11:57,Air,Air,Air,,,,12:02,12:02,12:02,12:02
456,Lower Parel,,,,,,,,11:49,11:49,,,,,,,,,11:54,11:54,11:57,11:57,12:00,12:00,Condition,Condition,Condition,,,,12:05,12:05,12:05,12:05
457,Prabhadevi,,,,,,,,11:52,11:52,,,,,,,,,11:57,11:57,12:00,12:00,12:03,12:03,,,,,,,12:08,12:08,12:08,12:08
458,DADAR,11:44,,,11:47,11:47,,,11:54,11:54,11:50,11:50,11:50,11:55,11:55,11:55,,,11:59,11:59,12:02,12:02,12:05,12:05,12:05,12:05,12:05,12:06,12:06,12:06,12:10,12:10,12:10,12:10
459,Matunga Road,,,,,,,,11:56,11:56,,,,,,,,,12:01,12:01,12:04,12:04,12:07,12:07,,,,,,,12:12,12:12,12:12,12:12
460,Mahim Jn.,,,,,,,,11:59,11:59,,,,,,,,,12:04,12:04,12:07,12:07,12:10,12:10,,,,,,,12:15,12:15,12:15,12:15
461,BANDRA,11:50,,,11:53,11:53,11:57,11:57,12:03,12:03,11:56,11:56,11:56,12:01,12:01,12:01,,,12:08,12:08,12:11,12:11,12:14,12:14,12:10,12:10,12:10,P,P,P,12:19,12:19,12:19,12:19
462,Khar Road,,,,,,12:01,12:01,12:06,12:06,,,,,,,,,12:11,12:11,12:14,12:14,12:17,12:17,,,,,,,12:22,12:22,12:22,12:22
463,Santa Cruz,,,,,,12:03,12:03,12:08,12:08,,,,,,,,,12:13,12:13,12:16,12:16,12:19,12:19,,,,,,,12:24,12:24,12:24,12:24
464,Vile Parle,,,,,,12:06,12:06,12:11,12:11,,,,,,,,,12:16,12:16,12:19,12:19,12:22,12:22,,,,,,,12:27,12:27,12:27,12:27
465,ANDHERI,12:00,,,12:03,12:03,12:11,12:11,12:16,12:16,12:06,12:06,12:06,12:10,12:10,12:10,12:18,12:18,12:22,12:22,12:25,12:25,12:28,12:28,12:18,12:18,12:18,12:21,12:21,12:21,12:32,12:32,12:32,12:32
466,Jogeshwari,,,,,,12:14,12:14,12:19,12:19,,,,,,,12:22,12:22,12:25,12:25,12:28,12:28,12:31,12:31,,,,,,,12:36,12:36,12:36,12:36
467,Ram Mandir,,,,,,12:17,12:17,12:22,12:22,,,,,,,12:25,12:25,12:28,12:28,12:31,12:31,12:34,12:34,,,,,,,12:39,12:39,12:39,12:39
468,Goregaon,,,,,,12:19,12:19,12:24,12:24,,,,,,,12:27,12:27,12:30,12:30,12:33,12:33,12:36,12:36,,,,,,,12:41,12:41,12:41,12:41
469,Malad,,,,,,12:23,12:23,12:28,12:28,,,,,,,12:31,12:31,12:34,12:34,12:37,12:37,12:40,12:40,,,,,,,12:45,12:45,12:45,12:45
470,Kandivli,,,,,,12:26,12:26,12:31,12:31,,,,,,,12:34,12:34,12:37,12:37,12:40,12:40,12:43,12:43,,,,,,,12:48,12:48,12:48,12:48
471,BORIVALI,12:13,,,12:16,12:16,12:32,12:32,12:37,12:37,12:20,12:20,12:20,12:23,12:23,12:23,12:39,12:39,12:43,12:43,12:46,12:46,12:49,12:49,12:28,12:28,12:28,P,P,P,12:55,12:55,12:55,12:55
472,Dahisar,12:16,,,12:20,12:20,12:37,12:37,,,12:24,12:24,12:24,12:27,12:27,12:27,12:43,12:43,12:47,12:47,,,NOT ON,NOT ON,12:33,12:33,12:33,12:33,12:33,12:33,,,,
473,Mira Road,12:21,,,12:25,12:25,12:42,12:42,,,12:28,12:28,12:28,12:31,12:31,12:31,12:48,12:48,12:52,12:52,,,SUN,SUN,12:38,12:38,12:38,,,,,,,
474,Bhayandar,12:26,,,12:31,12:31,12:50,12:50,,,12:33,12:33,12:33,12:36,12:36,12:36,12:53,12:53,12:57,12:57,,,ONLY,ONLY,12:43,12:43,12:43,12:38,12:38,12:38,,,,
475,Naigaon,12:32,,,,,,,,,12:38,12:38,12:38,12:42,12:42,12:42,12:59,12:59,13:03,13:03,,,,,12:49,12:49,12:49,,,,,,,
476,Vasai Road,12:36,,,,,,,,,12:43,12:43,12:43,12:49,12:49,12:49,13:04,13:04,13:08,13:08,,,,,12:53,12:53,12:53,12:45,12:45,12:45,,,,
477,Nalla Sopara,12:41,,,,,,,,,12:49,12:49,12:49,,,,13:09,13:09,13:13,13:13,,,,,12:59,12:59,12:59,,,,,,,
478,VIRAR,12:48,,,,,,,,,,,,,,,13:15,13:15,13:20,13:20,,,,,13:08,13:08,13:08,12:56,12:56,12:56,,,,
479,STATIONS DN TRAINS,MDD 90415 12 CAR,DRD 93021 12 CAR,DRD 93021 12 CAR,VR 92095 12 CAR,VR 92095 12 CAR,GMN 90417 12 CAR,GMN 90417 12 CAR,BVI 90419 12 CAR,BVI 90419 12 CAR,VR 90421 12 CAR,VR 90421 12 CAR,VR 90421 12 CAR,BVI 90423 12 CAR,BVI 90423 12 CAR,BVI 90423 12 CAR,BYR 90425 12 CAR,BYR 90425 12 CAR,BVI 90427 12 CAR,BVI 90427 12 CAR,VR 90429 12 CAR,VR 90429 12 CAR,VR 92097 15 CAR,VR 92097 15 CAR,VR 92099 15 CAR,VR 92099 15 CAR,VR 92099 15 CAR,GMN 90431 12 CAR,GMN 90431 12 CAR,GMN 90431 12 CAR,BVI 90433 12 CAR,BVI 90433 12 CAR,BVI 90433 12 CAR,BVI 90433 12 CAR
480,CHURCHGATE,11:51,,,,,11:52,11:52,11:56,11:56,12:00,12:00,12:00,12:02,12:02,12:02,12:06,12:06,12:05,12:05,12:09,12:09,,,,,,12:08,12:08,12:08,12:11,12:11,12:11,12:11
481,Marine Lines,11:54,,,,,11:55,11:55,11:59,11:59,12:03,12:03,12:03,12:05,12:05,12:05,12:09,12:09,12:08,12:08,12:12,12:12,,,,,,12:11,12:11,12:11,12:14,12:14,12:14,12:14
482,Charni Road,11:56,,,,,11:57,11:57,12:01,12:01,12:05,12:05,12:05,12:07,12:07,12:07,12:11,12:11,12:10,12:10,12:14,12:14,,,,,,12:13,12:13,12:13,12:16,12:16,12:16,12:16
483,Grant Road,11:59,,,,,12:00,12:00,12:04,12:04,12:08,12:08,12:08,12:10,12:10,12:10,12:14,12:14,12:13,12:13,12:17,12:17,,,,,,12:16,12:16,12:16,12:19,12:19,12:19,12:19
484,M'BAI CENTRAL (L),12:01,,,,,12:02,12:02,12:06,12:06,12:10,12:10,12:10,12:12,12:12,12:12,12:16,12:16,12:15,12:15,12:19,12:19,,,,,,12:18,12:18,12:18,12:21,12:21,12:21,12:21
485,Mahalakshmi,,,,,,12:05,12:05,12:09,12:09,,,,12:15,12:15,12:15,,,12:18,12:18,,,,,,,,12:21,12:21,12:21,12:24,12:24,12:24,12:24
486,Lower Parel,,,,,,12:08,12:08,12:12,12:12,,,,12:18,12:18,12:18,,,12:21,12:21,,,,,,,,12:24,12:24,12:24,12:27,12:27,12:27,12:27
487,Prabhadevi,,,,,,12:11,12:11,12:15,12:15,,,,12:21,12:21,12:21,,,12:24,12:24,,,,,,,,12:27,12:27,12:27,12:30,12:30,12:30,12:30
488,DADAR,12:10,,,,,12:13,12:13,12:17,12:17,12:17,12:17,12:17,12:23,12:23,12:23,12:23,12:23,12:26,12:26,12:26,12:26,,,,,,12:29,12:29,12:29,12:32,12:32,12:32,12:32
489,Matunga Road,,,,,,12:15,12:15,12:19,12:19,,,,12:25,12:25,12:25,,,12:28,12:28,,,,,,,,12:31,12:31,12:31,12:34,12:34,12:34,12:34
490,Mahim Jn.,,,,,,12:18,12:18,12:22,12:22,,,,12:28,12:28,12:28,,,12:31,12:31,,,,,,,,12:34,12:34,12:34,12:37,12:37,12:37,12:37
491,BANDRA,12:17,,,,,12:22,12:22,12:26,12:26,12:22,12:22,12:22,12:32,12:32,12:32,12:28,12:28,12:35,12:35,12:32,12:32,,,,,,12:38,12:38,12:38,12:41,12:41,12:41,12:41
492,Khar Road,,,,,,12:25,12:25,12:29,12:29,,,,12:35,12:35,12:35,,,12:38,12:38,,,,,,,,12:41,12:41,12:41,12:44,12:44,12:44,12:44
493,Santa Cruz,,,,,,12:27,12:27,12:31,12:31,,,,12:37,12:37,12:37,,,12:40,12:40,,,,,,,,12:43,12:43,12:43,12:47,12:47,12:47,12:47
494,Vile Parle,,,,,,12:30,12:30,12:34,12:34,,,,12:40,12:40,12:40,,,12:43,12:43,,,,,,,,12:46,12:46,12:46,12:50,12:50,12:50,12:50
495,ANDHERI,12:25,,,12:35,12:35,12:35,12:35,12:39,12:39,12:30,12:30,12:30,12:45,12:45,12:45,12:36,12:36,12:48,12:48,12:40,12:40,,,12:51,12:51,12:51,12:52,12:52,12:52,12:55,12:55,12:55,12:55
496,Jogeshwari,,,,12:40,12:40,12:39,12:39,12:42,12:42,,,,12:49,12:49,12:49,,,12:52,12:52,,,,,12:55,12:55,12:55,12:56,12:56,12:56,12:59,12:59,12:59,12:59
497,Ram Mandir,,,,12:43,12:43,12:42,12:42,12:45,12:45,,,,12:52,12:52,12:52,,,12:55,12:55,,,,,12:58,12:58,12:58,12:59,12:59,12:59,13:02,13:02,13:02,13:02
498,Goregaon,,,,12:45,12:45,12:45,12:45,12:47,12:47,,,,12:54,12:54,12:54,,,12:57,12:57,,,,,13:00,13:00,13:00,13:03,13:03,13:03,13:04,13:04,13:04,13:04
499,Malad,12:36,,,12:49,12:49,,,12:51,12:51,,,,12:58,12:58,12:58,,,13:01,13:01,,,,,13:04,13:04,13:04,,,,13:08,13:08,13:08,13:08
500,Kandivli,,,,12:52,12:52,,,12:54,12:54,,,,13:01,13:01,13:01,,,13:04,13:04,,,,,13:07,13:07,13:07,,,,13:11,13:11,13:11,13:11
501,BORIVALI,,,,12:58,12:58,,,13:00,13:00,12:46,12:46,12:46,13:07,13:07,13:07,12:50,12:50,13:10,13:10,12:54,12:54,13:03,13:03,13:13,13:13,13:13,,,,13:17,13:17,13:17,13:17
502,Dahisar,,,,13:02,13:02,,,,,12:51,12:51,12:51,NOT ON,NOT ON,NOT ON,12:54,12:54,,,12:59,12:59,13:07,13:07,13:17,13:17,13:17,,,,,,,
503,Mira Road,,,,13:07,13:07,,,,,12:56,12:56,12:56,SUN,SUN,SUN,12:59,12:59,,,13:04,13:04,13:12,13:12,13:22,13:22,13:22,,,,,,,
504,Bhayandar,,,,13:13,13:13,,,,,13:01,13:01,13:01,ONLY,ONLY,ONLY,13:07,13:07,,,13:09,13:09,13:17,13:17,13:27,13:27,13:27,,,,,,,
505,Naigaon,,,,13:19,13:19,,,,,13:07,13:07,13:07,,,,,,,,13:15,13:15,13:23,13:23,13:33,13:33,13:33,,,,,,,
506,Vasai Road,,,,13:24,13:24,,,,,13:13,13:13,13:13,,,,,,,,13:20,13:20,13:28,13:28,13:38,13:38,13:38,,,,,,,
